Period,Subsidiary,Transaction Number,Document Number,Reversal Of No.,Type,Name,Number,Display Name,Amount (Debit),Amount (Credit),Amount,Memo (Main),Memo,Amount (Debit) (Foreign Currency),Amount (Credit) (Foreign Currency),Currency,Exchange Rate,Department,Created By,Auto Approved JE
Mar 2025,"SentinelOne, Inc.",VENDBILL53473,505,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"197,839.25 ",0.00 ,"197,839.25 ",Coupa Invoice ID: 34085 - Erin Daughenbaugh Productions,SKO FY26 - EDP General Session Production Service Agreement,"197,839.25 ",0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",CARDCHRG7759,148833585,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,316.85 ,0.00 ,316.85 ,SP HULKEN,SP HULKEN,316.85 ,0.00 ,USD,1,40100 Sales Management,-System-,
Mar 2025,"SentinelOne, Inc.",JOURNAL104728,JE104728,,Journal,,68100,68100 Sales Related Expenses : Sales Conference & Services,"5,000.00 ",0.00 ,"5,000.00 ",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 14428-2,"5,000.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL104728,JE104728,,Journal,,68100,68100 Sales Related Expenses : Sales Conference & Services,"8,000.00 ",0.00 ,"8,000.00 ",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 14759-1,"8,000.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL104728,JE104728,,Journal,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,500.00 ",0.00 ,"1,500.00 ",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 15424-1,"1,500.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Mar 2025,"SentinelOne, Inc.",JOURNAL104728,JE104728,,Journal,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,377.00 ",0.00 ,"2,377.00 ",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 15884-1,"2,377.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",JOURNAL111922,JE111922,,Journal,9317-6261 QUEBEC INC. (SPORTMRKT Group),68100,68100 Sales Related Expenses : Sales Conference & Services,"2,616.00 ",0.00 ,"2,616.00 ",AP Accrual - April 2025 Open PO accruals,AP Accrual - April 2025 Open PO accruals 16383-1,"2,616.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",JOURNAL111924,JE111924,,Journal,9317-6261 QUEBEC INC. (SPORTMRKT Group),68100,68100 Sales Related Expenses : Sales Conference & Services,"2,091.00 ",0.00 ,"2,091.00 ",AP Accrual - April 2025 Manual Accrual,AP Accrual - April 2025 Manual Accrual INV-2531,"2,091.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",JOURNAL103537,JE103537,JE103536,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,728.50 ,(728.50),Brex Mar CC Accrual,Brex Mar CC Accrual,0.00 ,728.50 ,USD,1,40100 Sales Management,Yazhi Liu,No
Apr 2025,"SentinelOne, Inc.",JOURNAL110843,JE110843,,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,"3,912.00 ",0.00 ,"3,912.00 ",Brex Apr CC Accrual,Brex Apr CC Accrual,"3,912.00 ",0.00 ,USD,1,43300 Cloud Sales,Yazhi Liu,No
Apr 2025,"SentinelOne, Inc.",JOURNAL110843,JE110843,,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,204.96 ,0.00 ,204.96 ,Brex Apr CC Accrual,Brex Apr CC Accrual,204.96 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,Yazhi Liu,No
Apr 2025,"SentinelOne, Inc.",JOURNAL104729,JE104729,JE104728,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"38,000.00 ","(38,000.00)",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 13816-2,0.00 ,"38,000.00 ",USD,1,40100 Sales Management,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",JOURNAL105057,JE105057,,Journal,Cvent Inc.,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,447.69 ",0.00 ,"1,447.69 ",,Amortization Destination,"1,447.69 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Andy Lee,Yes
Apr 2025,"SentinelOne, Inc.",JOURNAL111928,JE111928,,Journal,CYBERLAWCON LLC,68100,68100 Sales Related Expenses : Sales Conference & Services,"50,000.00 ",0.00 ,"50,000.00 ",AP Accrual - April 2025 Pending REQ approval,AP Accrual - April 2025 Pending REQ approval  20293-1,"50,000.00 ",0.00 ,USD,1,13200 MDR,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",JOURNAL104731,JE104731,JE104730,Journal,Erin Daughenbaugh Productions,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"9,934.96 ","(9,934.96)",AP Accrual - March 2025 Pending REQ approval,AP Accrual - March 2025 Pending REQ approval 20605-1,0.00 ,"9,934.96 ",USD,1,40100 Sales Management,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",JOURNAL104729,JE104729,JE104728,Journal,Jack Nadel International,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"11,823.35 ","(11,823.35)",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 14456-1,0.00 ,"11,823.35 ",USD,1,40100 Sales Management,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",CUSTINVC99918,INV99747,,Invoice,Lenovo PC HK Limited,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"28,783.80 ","(28,783.80)",Recording FY26'Q1 cost sharing cross charge to Lenovo for Naomi Harris,Recording FY26'Q1 cost sharing cross charge to Lenovo for Naomi Harris,0.00 ,"28,783.80 ",USD,1,,Vendredy Khloth,
Apr 2025,"SentinelOne, Inc.",JOURNAL104729,JE104729,JE104728,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"1,418,654.95 ","(1,418,654.95)",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 11118-1,0.00 ,"1,418,654.95 ",USD,1,40100 Sales Management,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",JOURNAL104729,JE104729,JE104728,Journal,MGM Resorts International,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"1,300,000.00 ","(1,300,000.00)",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 15083-1,0.00 ,"1,300,000.00 ",USD,1,40100 Sales Management,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",JOURNAL111926,JE111926,,Journal,"Navan, Inc",68100,68100 Sales Related Expenses : Sales Conference & Services,"7,000.00 ",0.00 ,"7,000.00 ",AP Accrual - April 2025 Pending Invoice approval,AP Accrual - April 2025 Pending Invoice approval  INV1993058,"7,000.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",CARDCHRG7865,149605996,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,524.29 ,0.00 ,524.29 ,FEDEX OFFICE #2311,FEDEX OFFICE #2311,524.29 ,0.00 ,USD,1,40100 Sales Management,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG7872,149623264,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,204.21 ,0.00 ,204.21 ,SP HULKEN,SP HULKEN,204.21 ,0.00 ,USD,1,40100 Sales Management,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG7916,149927236,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,283.24 ,0.00 ,283.24 ,FEDEX OFFICE 83,FEDEX OFFICE 83,283.24 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG7945,150056641,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,620.68 ,0.00 ,620.68 ,TST*JAVIERS - LA JOLLA,TST*JAVIERS - LA JOLLA,620.68 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG7946,150056648,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,841.71 ,0.00 ,841.71 ,TM *TICKETMASTER,TM *TICKETMASTER,841.71 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG7947,150056649,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,341.91 ,0.00 ,341.91 ,TM *TICKETMASTER,TM *TICKETMASTER,341.91 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG7971,150056645,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,482.60 ,0.00 ,482.60 ,TM *TICKETMASTER,TM *TICKETMASTER,482.60 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG7977,150187665,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,820.57 ,0.00 ,820.57 ,PY *BEERCADE,PY *BEERCADE,820.57 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG7995,150314410,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,625.00 ",0.00 ,"2,625.00 ",Arthritis Foundation,Arthritis Foundation,"2,625.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",VENDBILL53996,3303,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,377.00 ",0.00 ,"2,377.00 ",Coupa Invoice ID: 34694 - The Kimberly Group Inc,"SKO FY26 Temp Staffing - February 25 – 28, 2025","2,377.00 ",0.00 ,USD,1,40100 Sales Management,-System-,
Apr 2025,"SentinelOne, Inc.",JOURNAL104729,JE104729,JE104728,Journal,,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"5,000.00 ","(5,000.00)",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 14428-2,0.00 ,"5,000.00 ",USD,1,40100 Sales Management,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",JOURNAL104729,JE104729,JE104728,Journal,,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"8,000.00 ","(8,000.00)",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 14759-1,0.00 ,"8,000.00 ",USD,1,40100 Sales Management,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",JOURNAL104729,JE104729,JE104728,Journal,,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"1,500.00 ","(1,500.00)",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 15424-1,0.00 ,"1,500.00 ",USD,1,40100 Sales Management,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",JOURNAL104729,JE104729,JE104728,Journal,,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"2,377.00 ","(2,377.00)",AP Accrual - March 2025 Open PO accruals,AP Accrual - March 2025 Open PO accruals 15884-1,0.00 ,"2,377.00 ",USD,1,40100 Sales Management,Andy Lee,No
Apr 2025,"SentinelOne, Inc.",CARDCHRG8017,150548903,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,030.00 ",0.00 ,"1,030.00 ",ADVANCED NETWORK MANAG,ADVANCED NETWORK MANAG,"1,030.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8023,150548910,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,352.46 ,0.00 ,352.46 ,NADEL STORES #386,NADEL STORES #386,352.46 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8024,150548911,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,163.14 ,0.00 ,163.14 ,NADEL STORES #385,NADEL STORES #385,163.14 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8025,150548912,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,113.19 ,0.00 ,113.19 ,NADEL STORES #387,NADEL STORES #387,113.19 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",VENDBILL54024,506,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"9,934.96 ",0.00 ,"9,934.96 ",Coupa Invoice ID: 34730 - Erin Daughenbaugh Productions,SKO FY26 - EDP overage,"9,934.96 ",0.00 ,USD,1,40100 Sales Management,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8038,150683143,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,991.88 ,0.00 ,991.88 ,SCOTTSDALE GUN CLUB,SCOTTSDALE GUN CLUB,991.88 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8043,150683148,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,616.53 ,0.00 ,616.53 ,BELLAGREEN 101 OLO,BELLAGREEN 101 OLO,616.53 ,0.00 ,USD,1,42000 Channel Sales,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8057,150806202,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,000.20 ",0.00 ,"1,000.20 ",EZCATER*SHIELDS PIZZA,EZCATER*SHIELDS PIZZA,"1,000.20 ",0.00 ,USD,1,42000 Channel Sales,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8058,150806203,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,686.15 ,0.00 ,686.15 ,TST*J CARVERS OYSTER B,TST*J CARVERS OYSTER B,686.15 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8070,150945096,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"3,193.11 ",0.00 ,"3,193.11 ",CAPITAL GRILLE 0138075,CAPITAL GRILLE 0138075,"3,193.11 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8071,150945097,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,131.24 ,0.00 ,131.24 ,FEDEX OFFICE 83,FEDEX OFFICE 83,131.24 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8090,151053379,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,745.10 ",0.00 ,"1,745.10 ",Stock Hill,Stock Hill,"1,745.10 ",0.00 ,USD,1,46300 Solution Engineering - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8091,151053380,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,207.39 ,0.00 ,207.39 ,YARD HOUSE 0108325,YARD HOUSE 0108325,207.39 ,0.00 ,USD,1,42000 Channel Sales,-System-,
Apr 2025,"SentinelOne, Inc.",CARDRFND198,151053386,,CCard Refund,,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,991.88 ,(991.88),SCOTTSDALE GUN CLUB,SCOTTSDALE GUN CLUB,0.00 ,991.88 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8107,151122788,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,396.77 ,0.00 ,396.77 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,396.77 ,0.00 ,USD,1,40100 Sales Management,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8126,151312230,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"3,502.45 ",0.00 ,"3,502.45 ",TST*J CARVERS OYSTER B,TST*J CARVERS OYSTER B,"3,502.45 ",0.00 ,USD,1,42000 Channel Sales,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8129,151312213,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,176.38 ,0.00 ,176.38 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,176.38 ,0.00 ,USD,1,40100 Sales Management,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8156,151436606,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,92.05 ,0.00 ,92.05 ,AMAZON MKTPLACE PMTS,AMAZON MKTPLACE PMTS,92.05 ,0.00 ,USD,1,40100 Sales Management,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8163,151555041,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,499.88 ",0.00 ,"1,499.88 ",AUSTIN PROPER,AUSTIN PROPER,"1,499.88 ",0.00 ,USD,1,42000 Channel Sales,-System-,
Apr 2025,"SentinelOne, Inc.",JOURNAL107930,JE107930,,Journal,,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"70,000.00 ","(70,000.00)",SKO & RSAC Sponsorship reclass to OPEX,SKO Sponsorship reclass to OPEX,0.00 ,"70,000.00 ",USD,1,40100 Sales Management,Yazhi Liu,No
Apr 2025,"SentinelOne, Inc.",CARDCHRG8215,151956418,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,339.82 ,0.00 ,339.82 ,SP CUPCAKE ROYALE,SP CUPCAKE ROYALE,339.82 ,0.00 ,USD,1,42000 Channel Sales,-System-,
Apr 2025,"SentinelOne, Inc.",VENDBILL54389,40165001,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"12,924.14 ",0.00 ,"12,924.14 ",Coupa Invoice ID: 35132 - Jack Nadel International,SKO FY26 Awards,"12,924.14 ",0.00 ,USD,1,40100 Sales Management,-System-,
Apr 2025,"SentinelOne, Inc.",VENDBILL54389,40165001,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,125.00 ,0.00 ,125.00 ,Coupa Invoice ID: 35132 - Jack Nadel International,Shipping Charges for Invoice line: SKO FY26 Awards,125.00 ,0.00 ,USD,1,40100 Sales Management,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8247,152062045,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,969.40 ,0.00 ,969.40 ,SEATGEEK TICKETS,SEATGEEK TICKETS,969.40 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",VENDBILL54451,SSEN25-26193,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,418,654.95 ",0.00 ,"1,418,654.95 ",Coupa Invoice ID: 35202 - MGM Resorts International,Sales Kickoff FY26 Cosmopolitan Agreement,"1,418,654.95 ",0.00 ,USD,1,40100 Sales Management,-System-,
Apr 2025,"SentinelOne, Inc.",VENDBILL54451,SSEN25-26193,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"912,378.35 ",0.00 ,"912,378.35 ",Coupa Invoice ID: 35202 - MGM Resorts International,SKO FY26 Encore AV & Remaining Hotel Balance,"912,378.35 ",0.00 ,USD,1,40100 Sales Management,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8258,152203062,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,799.76 ,0.00 ,799.76 ,TST*RE PUBLIC,TST*RE PUBLIC,799.76 ,0.00 ,USD,1,42000 Channel Sales,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8260,152203070,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,530.19 ",0.00 ,"1,530.19 ",SEATGEEK TICKETS,SEATGEEK TICKETS,"1,530.19 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8274,152203085,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,714.37 ,0.00 ,714.37 ,TST*VICTOR TAVERN - SL,TST*VICTOR TAVERN - SL,714.37 ,0.00 ,USD,1,42000 Channel Sales,-System-,
Apr 2025,Sentinel Labs Limited (USD),CARDCHRG8287,152326713,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,595.04 ",0.00 ,"2,595.04 ",stichd sportmerchandis,stichd sportmerchandis,"1,951.20 ",0.00 ,GBP,1.32997,42000 Channel Sales,-System-,
Apr 2025,"SentinelOne, Inc.",CARDCHRG8295,152326698,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"3,180.00 ",0.00 ,"3,180.00 ",PAYPAL *SLAMCITYENT,PAYPAL *SLAMCITYENT,"3,180.00 ",0.00 ,USD,1,43300 Cloud Sales,-System-,
Apr 2025,"SentinelOne, Inc.",JOURNAL110560,JE110560,,Journal,,68100,68100 Sales Related Expenses : Sales Conference & Services,"28,783.80 ",0.00 ,"28,783.80 ",Recording FY26'Q1 cost sharing cross charge to Lenovo for Naomi Harris,Recording FY26'Q1 cost sharing cross charge to Lenovo for Naomi Harris,"28,783.80 ",0.00 ,USD,1,,Vendredy Khloth,No
May 2025,"SentinelOne, Inc.",JOURNAL111923,JE111923,JE111922,Journal,9317-6261 QUEBEC INC. (SPORTMRKT Group),68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"2,616.00 ","(2,616.00)",AP Accrual - April 2025 Open PO accruals,AP Accrual - April 2025 Open PO accruals 16383-1,0.00 ,"2,616.00 ",USD,1,43500 Enterprise Sales - AMER,Andy Lee,No
May 2025,"SentinelOne, Inc.",JOURNAL111925,JE111925,JE111924,Journal,9317-6261 QUEBEC INC. (SPORTMRKT Group),68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"2,091.00 ","(2,091.00)",AP Accrual - April 2025 Manual Accrual,AP Accrual - April 2025 Manual Accrual INV-2531,0.00 ,"2,091.00 ",USD,1,43500 Enterprise Sales - AMER,Andy Lee,No
May 2025,"SentinelOne, Inc.",JOURNAL110844,JE110844,JE110843,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"3,912.00 ","(3,912.00)",Brex Apr CC Accrual,Brex Apr CC Accrual,0.00 ,"3,912.00 ",USD,1,43300 Cloud Sales,Yazhi Liu,No
May 2025,"SentinelOne, Inc.",JOURNAL110844,JE110844,JE110843,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,204.96 ,(204.96),Brex Apr CC Accrual,Brex Apr CC Accrual,0.00 ,204.96 ,USD,1,43500 Enterprise Sales - AMER,Yazhi Liu,No
May 2025,"SentinelOne, Inc.",JOURNAL117703,JE117703,,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,"1,616.37 ",0.00 ,"1,616.37 ",Brex May CC Accrual,Brex May CC Accrual,"1,616.37 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Yazhi Liu,No
May 2025,"SentinelOne, Inc.",JOURNAL117703,JE117703,,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,195.37 ,0.00 ,195.37 ,Brex May CC Accrual,Brex May CC Accrual,195.37 ,0.00 ,USD,1,40100 Sales Management,Yazhi Liu,No
May 2025,"SentinelOne, Inc.",JOURNAL117703,JE117703,,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,"2,401.52 ",0.00 ,"2,401.52 ",Brex May CC Accrual,Brex May CC Accrual,"2,401.52 ",0.00 ,USD,1,42000 Channel Sales,Yazhi Liu,No
May 2025,"SentinelOne, Inc.",JOURNAL114305,JE114305,,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,"170,800.00 ",0.00 ,"170,800.00 ",,Amortization Destination,"170,800.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,Yes
May 2025,"SentinelOne, Inc.",JOURNAL114307,JE114307,,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,"38,000.00 ",0.00 ,"38,000.00 ",,Amortization Destination,"38,000.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,Yes
May 2025,"SentinelOne, Inc.",JOURNAL114307,JE114307,,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,"38,000.00 ",0.00 ,"38,000.00 ",,Amortization Destination,"38,000.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,Yes
May 2025,"SentinelOne, Inc.",JOURNAL118184,JE118184,,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,"38,000.00 ",0.00 ,"38,000.00 ",AP Accrual - May 2025 Open PO accruals,AP Accrual - May 2025 Open PO accruals 13816-2,"38,000.00 ",0.00 ,USD,1,40100 Sales Management,Yazhi Liu,No
May 2025,"SentinelOne, Inc.",JOURNAL118184,JE118184,,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,"15,613.00 ",0.00 ,"15,613.00 ",AP Accrual - May 2025 Open PO accruals,AP Accrual - May 2025 Open PO accruals 13816-3,"15,613.00 ",0.00 ,USD,1,40100 Sales Management,Yazhi Liu,No
May 2025,"SentinelOne, Inc.",JOURNAL118184,JE118184,,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,"11,309.12 ",0.00 ,"11,309.12 ",AP Accrual - May 2025 Open PO accruals,AP Accrual - May 2025 Open PO accruals 16183-1,"11,309.12 ",0.00 ,USD,1,40100 Sales Management,Yazhi Liu,No
May 2025,"SentinelOne, Inc.",JOURNAL118184,JE118184,,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,"20,234.35 ",0.00 ,"20,234.35 ",AP Accrual - May 2025 Open PO accruals,AP Accrual - May 2025 Open PO accruals 16183-2,"20,234.35 ",0.00 ,USD,1,40100 Sales Management,Yazhi Liu,No
May 2025,"SentinelOne, Inc.",JOURNAL114310,JE114310,,Journal,Cvent Inc.,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,447.72 ",0.00 ,"1,447.72 ",,Amortization Destination,"1,447.72 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Andy Lee,Yes
May 2025,"SentinelOne, Inc.",JOURNAL111929,JE111929,JE111928,Journal,CYBERLAWCON LLC,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"50,000.00 ","(50,000.00)",AP Accrual - April 2025 Pending REQ approval,AP Accrual - April 2025 Pending REQ approval  20293-1,0.00 ,"50,000.00 ",USD,1,13200 MDR,Andy Lee,No
May 2025,"SentinelOne, Inc.",JOURNAL118184,JE118184,,Journal,CYBERLAWCON LLC,68100,68100 Sales Related Expenses : Sales Conference & Services,"50,000.00 ",0.00 ,"50,000.00 ",AP Accrual - May 2025 Open PO accruals,AP Accrual - May 2025 Open PO accruals 16593-1,"50,000.00 ",0.00 ,USD,1,13200 MDR,Yazhi Liu,No
